image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_01.jpg,0.4335,Anormal,Normal
Colpo_010.jpg,0.4088,Normal,Normal
Colpo_0100.jpg,0.422,Anormal,Anormal
Colpo_0101.jpg,0.4275,Anormal,Normal
Colpo_0102.jpg,0.4154,Normal,Normal
Colpo_0103.jpg,0.4263,Anormal,Normal
Colpo_0104.jpg,0.4364,Anormal,Normal
Colpo_0105.jpg,0.4285,Anormal,Normal
Colpo_0106.jpg,0.372,Normal,Normal
Colpo_0107.jpg,0.4135,Normal,Anormal
Colpo_0108.jpg,0.4095,Normal,Normal
Colpo_0109.jpg,0.4091,Normal,Normal
Colpo_011.jpg,0.4064,Normal,Normal
Colpo_0110.jpg,0.4192,Normal,Normal
Colpo_0111.jpg,0.4403,Anormal,Normal
Colpo_0112.jpg,0.4355,Anormal,Anormal
Colpo_0113.jpg,0.414,Normal,Anormal
Colpo_0114.jpg,0.4281,Anormal,Anormal
Colpo_012.jpg,0.4229,Anormal,Normal
Colpo_013.jpg,0.4378,Anormal,Normal
Colpo_014.jpg,0.426,Anormal,Anormal
Colpo_018.jpg,0.4217,Anormal,Anormal
Colpo_019.jpg,0.4294,Anormal,Anormal
Colpo_02.jpg,0.4325,Anormal,Anormal
Colpo_020.jpg,0.3984,Normal,Normal
Colpo_021.jpg,0.4457,Anormal,Normal
Colpo_022.jpg,0.4061,Normal,Normal
Colpo_023.jpg,0.4175,Normal,Anormal
Colpo_024.jpg,0.4349,Anormal,Anormal
Colpo_025.jpg,0.4019,Normal,Anormal
Colpo_026.jpg,0.3957,Normal,Normal
Colpo_027.jpg,0.4226,Anormal,Normal
Colpo_028.jpg,0.4101,Normal,Normal
Colpo_03.jpg,0.4264,Anormal,Anormal
Colpo_030.jpg,0.4268,Anormal,Anormal
Colpo_031.jpg,0.4224,Anormal,Anormal
Colpo_032.jpg,0.4274,Anormal,Anormal
Colpo_033.jpg,0.4026,Normal,Normal
Colpo_034.jpg,0.4166,Normal,Anormal
Colpo_035.jpg,0.4287,Anormal,Anormal
Colpo_036.jpg,0.4344,Anormal,Normal
Colpo_037.jpg,0.4374,Anormal,Normal
Colpo_038.jpg,0.4304,Anormal,Normal
Colpo_039.jpg,0.4304,Anormal,Anormal
Colpo_04.jpg,0.4395,Anormal,Normal
Colpo_040.jpg,0.4058,Normal,Anormal
Colpo_041.jpg,0.4236,Anormal,Normal
Colpo_042.jpg,0.4224,Anormal,Normal
Colpo_043.jpg,0.4085,Normal,Anormal
Colpo_044.jpg,0.4361,Anormal,Normal
Colpo_045.jpg,0.4265,Anormal,Normal
Colpo_046.jpg,0.4187,Normal,Normal
Colpo_047.jpg,0.4316,Anormal,Normal
Colpo_048.jpg,0.4087,Normal,Normal
Colpo_049.jpg,0.4181,Normal,Normal
Colpo_05.jpg,0.4365,Anormal,Normal
Colpo_050.jpg,0.4186,Normal,Normal
Colpo_051.jpg,0.4092,Normal,Normal
Colpo_052.jpg,0.4266,Anormal,Normal
Colpo_053.jpg,0.4224,Anormal,Anormal
Colpo_054.jpg,0.4252,Anormal,Normal
Colpo_055.jpg,0.4392,Anormal,Normal
Colpo_056.jpg,0.4199,Normal,Normal
Colpo_057.jpg,0.4293,Anormal,Normal
Colpo_058.jpg,0.4268,Anormal,Normal
Colpo_059.jpg,0.4226,Anormal,Normal
Colpo_06.jpg,0.42,Anormal,Normal
Colpo_060.jpg,0.4196,Normal,Normal
Colpo_061.jpg,0.4337,Anormal,Anormal
Colpo_062.jpg,0.4106,Normal,Normal
Colpo_063.jpg,0.4222,Anormal,Normal
Colpo_064.jpg,0.4116,Normal,Normal
Colpo_065.jpg,0.4167,Normal,Anormal
Colpo_066.jpg,0.4181,Normal,Normal
Colpo_067.jpg,0.431,Anormal,Normal
Colpo_068.jpg,0.4125,Normal,Anormal
Colpo_069.jpg,0.4208,Anormal,Anormal
Colpo_07.jpg,0.4251,Anormal,Anormal
Colpo_070.jpg,0.4157,Normal,Normal
Colpo_071.jpg,0.434,Anormal,Anormal
Colpo_072.jpg,0.4238,Anormal,Anormal
Colpo_073.jpg,0.4166,Normal,Normal
Colpo_074.jpg,0.4205,Anormal,Normal
Colpo_075.jpg,0.4005,Normal,Normal
Colpo_076.jpg,0.421,Anormal,Anormal
Colpo_077.jpg,0.425,Anormal,Normal
Colpo_078.jpg,0.4298,Anormal,Anormal
Colpo_079.jpg,0.4233,Anormal,Anormal
Colpo_08.jpg,0.4125,Normal,Normal
Colpo_080.jpg,0.4072,Normal,Normal
Colpo_081.jpg,0.4302,Anormal,Anormal
Colpo_082.jpg,0.4276,Anormal,Anormal
Colpo_083.jpg,0.407,Normal,Normal
Colpo_084.jpg,0.4175,Normal,Normal
Colpo_085.jpg,0.4311,Anormal,Normal
Colpo_086.jpg,0.4179,Normal,Normal
Colpo_087.jpg,0.4236,Anormal,Normal
Colpo_088.jpg,0.4107,Normal,Normal
Colpo_089.jpg,0.4045,Normal,Normal
Colpo_09.jpg,0.4363,Anormal,Anormal
Colpo_090.jpg,0.4271,Anormal,Anormal
Colpo_091.jpg,0.4368,Anormal,Normal
Colpo_092.jpg,0.4139,Normal,Normal
Colpo_093.jpg,0.413,Normal,Normal
Colpo_094.jpg,0.4283,Anormal,Normal
Colpo_095.jpg,0.4321,Anormal,Normal
Colpo_096.jpg,0.4116,Normal,Normal
Colpo_097.jpg,0.4352,Anormal,Anormal
Colpo_098.jpg,0.4318,Anormal,Normal
Colpo_099.jpg,0.4332,Anormal,Anormal
Colpo_489.jpeg,0.3955,Normal,Normal
Colpo_491.jpg,0.4111,Normal,Normal
Colpo_492.jpg,0.418,Normal,Anormal
Colpo_494.jpg,0.4206,Anormal,Normal
Colpo_495.jpg,0.3986,Normal,Normal
Colpo_498.jpg,0.4344,Anormal,Normal
Colpo_500.jpg,0.4648,Anormal,Anormal
Colpo_510.jpg,0.4243,Anormal,Normal
Colpo_511.jpg,0.4218,Anormal,Normal
Colpo_512.jpg,0.4218,Anormal,Normal
Colpo_514.jpg,0.4216,Anormal,Anormal
Colpo_519.jpg,0.4254,Anormal,Anormal
Colpo_520.jpg,0.425,Anormal,Anormal
Colpo_527.jpg,0.4018,Normal,Normal
Colpo_530.jpg,0.3956,Normal,Anormal
Colpo_543.jpg,0.4022,Normal,Normal
Colpo_554.jpg,0.4114,Normal,Normal
Colpo_555.jpg,0.4183,Normal,Normal
Colpo_575.jpg,0.403,Normal,Normal
Colpo_585.jpg,0.4248,Anormal,Anormal
Colpo_587.jpg,0.4337,Anormal,Normal
Colpo_590.jpg,0.4377,Anormal,Normal
Colpo_594.jpg,0.4407,Anormal,Normal
Colpo_600.jpg,0.4357,Anormal,Normal
Colpo_606.jpg,0.4125,Normal,Normal
Colpo_617.jpg,0.4046,Normal,Normal
Colpo_625.jpg,0.4381,Anormal,Normal
