image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_01.jpg,0.4827,Anormal,Normal
Colpo_010.jpg,0.4827,Anormal,Anormal
Colpo_0100.jpg,0.4827,Anormal,Normal
Colpo_0101.jpg,0.4826,Anormal,Normal
Colpo_0102.jpg,0.4828,Anormal,Normal
Colpo_0103.jpg,0.4827,Anormal,Normal
Colpo_0104.jpg,0.4826,Anormal,Normal
Colpo_0105.jpg,0.4826,Anormal,Anormal
Colpo_0106.jpg,0.4826,Anormal,Anormal
Colpo_0107.jpg,0.4827,Anormal,Anormal
Colpo_0108.jpg,0.4827,Anormal,Anormal
Colpo_0109.jpg,0.4827,Anormal,Normal
Colpo_011.jpg,0.4826,Anormal,Normal
Colpo_0110.jpg,0.4827,Anormal,Anormal
Colpo_0111.jpg,0.4826,Anormal,Normal
Colpo_0112.jpg,0.4826,Anormal,Anormal
Colpo_0113.jpg,0.4827,Anormal,Anormal
Colpo_0114.jpg,0.4826,Anormal,Anormal
Colpo_012.jpg,0.4826,Anormal,Normal
Colpo_013.jpg,0.4826,Anormal,Anormal
Colpo_014.jpg,0.4827,Anormal,Anormal
Colpo_018.jpg,0.4827,Anormal,Anormal
Colpo_019.jpg,0.4826,Anormal,Anormal
Colpo_02.jpg,0.4827,Anormal,Anormal
Colpo_020.jpg,0.4826,Anormal,Anormal
Colpo_021.jpg,0.4827,Anormal,Normal
Colpo_022.jpg,0.4827,Anormal,Normal
Colpo_023.jpg,0.4827,Anormal,Anormal
Colpo_024.jpg,0.4826,Anormal,Anormal
Colpo_025.jpg,0.4826,Anormal,Anormal
Colpo_026.jpg,0.4827,Anormal,Normal
Colpo_027.jpg,0.4827,Anormal,Normal
Colpo_028.jpg,0.4827,Anormal,Anormal
Colpo_03.jpg,0.4827,Anormal,Anormal
Colpo_030.jpg,0.4827,Anormal,Anormal
Colpo_031.jpg,0.4827,Anormal,Anormal
Colpo_032.jpg,0.4826,Anormal,Anormal
Colpo_033.jpg,0.4827,Anormal,Anormal
Colpo_034.jpg,0.4827,Anormal,Anormal
Colpo_035.jpg,0.4828,Anormal,Anormal
Colpo_036.jpg,0.4826,Anormal,Normal
Colpo_037.jpg,0.4826,Anormal,Normal
Colpo_038.jpg,0.4827,Anormal,Normal
Colpo_039.jpg,0.4827,Anormal,Anormal
Colpo_04.jpg,0.4827,Anormal,Normal
Colpo_040.jpg,0.4827,Anormal,Anormal
Colpo_041.jpg,0.4827,Anormal,Normal
Colpo_042.jpg,0.4827,Anormal,Normal
Colpo_043.jpg,0.4826,Anormal,Anormal
Colpo_044.jpg,0.4827,Anormal,Normal
Colpo_045.jpg,0.4827,Anormal,Normal
Colpo_046.jpg,0.4827,Anormal,Normal
Colpo_047.jpg,0.4827,Anormal,Normal
Colpo_048.jpg,0.4827,Anormal,Anormal
Colpo_049.jpg,0.4827,Anormal,Normal
Colpo_05.jpg,0.4828,Anormal,Normal
