image_name,probabilidad,clasificacion,clasificacion_modificada
Colpo_01.jpg,0.2539,Normal,Normal
Colpo_010.jpg,0.4815,Anormal,Normal
Colpo_0100.jpg,0.4093,Normal,Normal
Colpo_0101.jpg,0.2745,Normal,Normal
Colpo_0102.jpg,0.3822,Normal,Normal
Colpo_0103.jpg,0.1281,Normal,Normal
Colpo_0104.jpg,0.425,Anormal,Anormal
Colpo_0105.jpg,0.6838,Anormal,Normal
Colpo_0106.jpg,0.3251,Normal,Normal
Colpo_0107.jpg,0.3604,Normal,Anormal
Colpo_0108.jpg,0.367,Normal,Anormal
Colpo_0109.jpg,0.4607,Anormal,Normal
Colpo_011.jpg,0.5467,Anormal,Normal
Colpo_0110.jpg,0.4539,Anormal,Anormal
Colpo_0111.jpg,0.7478,Anormal,Anormal
Colpo_0112.jpg,0.5339,Anormal,Anormal
Colpo_0113.jpg,0.3311,Normal,Normal
Colpo_0114.jpg,0.1923,Normal,Anormal
Colpo_012.jpg,0.3912,Normal,Normal
Colpo_013.jpg,0.1702,Normal,Normal
Colpo_014.jpg,0.1776,Normal,Normal
Colpo_018.jpg,0.3045,Normal,Anormal
Colpo_019.jpg,0.3332,Normal,Anormal
Colpo_02.jpg,0.445,Anormal,Anormal
Colpo_020.jpg,0.2778,Normal,Anormal
Colpo_021.jpg,0.2489,Normal,Normal
Colpo_022.jpg,0.1526,Normal,Normal
Colpo_023.jpg,0.2891,Normal,Normal
Colpo_024.jpg,0.4607,Anormal,Anormal
Colpo_025.jpg,0.1911,Normal,Anormal
Colpo_026.jpg,0.1649,Normal,Normal
Colpo_027.jpg,0.1206,Normal,Normal
Colpo_028.jpg,0.1764,Normal,Anormal
Colpo_03.jpg,0.7736,Anormal,Anormal
Colpo_030.jpg,0.2741,Normal,Normal
Colpo_031.jpg,0.6432,Anormal,Anormal
Colpo_032.jpg,0.1654,Normal,Normal
Colpo_033.jpg,0.2447,Normal,Normal
Colpo_034.jpg,0.4277,Anormal,Anormal
Colpo_035.jpg,0.6852,Anormal,Anormal
Colpo_036.jpg,0.2289,Normal,Normal
Colpo_037.jpg,0.351,Normal,Normal
Colpo_038.jpg,0.3505,Normal,Normal
Colpo_039.jpg,0.4624,Anormal,Anormal
Colpo_04.jpg,0.2828,Normal,Normal
Colpo_040.jpg,0.2004,Normal,Anormal
Colpo_041.jpg,0.358,Normal,Normal
Colpo_042.jpg,0.3126,Normal,Normal
Colpo_043.jpg,0.2338,Normal,Anormal
Colpo_044.jpg,0.4867,Anormal,Anormal
Colpo_045.jpg,0.1096,Normal,Normal
Colpo_046.jpg,0.3712,Normal,Normal
Colpo_047.jpg,0.6353,Anormal,Anormal
Colpo_048.jpg,0.1461,Normal,Anormal
Colpo_049.jpg,0.3238,Normal,Normal
Colpo_05.jpg,0.9562,Anormal,Normal
Colpo_050.jpg,0.3601,Normal,Normal
Colpo_051.jpg,0.228,Normal,Normal
Colpo_052.jpg,0.4762,Anormal,Normal
Colpo_053.jpg,0.3753,Normal,Normal
Colpo_054.jpg,0.5489,Anormal,Normal
Colpo_055.jpg,0.5224,Anormal,Normal
Colpo_056.jpg,0.4616,Anormal,Normal
Colpo_057.jpg,0.6649,Anormal,Normal
Colpo_058.jpg,0.138,Normal,Normal
Colpo_059.jpg,0.2679,Normal,Normal
Colpo_06.jpg,0.7753,Anormal,Normal
Colpo_060.jpg,0.4059,Normal,Normal
Colpo_061.jpg,0.8029,Anormal,Anormal
Colpo_062.jpg,0.6935,Anormal,Normal
Colpo_063.jpg,0.4152,Normal,Normal
Colpo_064.jpg,0.2318,Normal,Normal
Colpo_065.jpg,0.3358,Normal,Anormal
Colpo_066.jpg,0.6141,Anormal,Normal
Colpo_067.jpg,0.2207,Normal,Normal
Colpo_068.jpg,0.199,Normal,Anormal
Colpo_069.jpg,0.6486,Anormal,Anormal
Colpo_07.jpg,0.582,Anormal,Normal
Colpo_070.jpg,0.2812,Normal,Normal
Colpo_071.jpg,0.5773,Anormal,Normal
Colpo_072.jpg,0.4386,Anormal,Anormal
Colpo_073.jpg,0.1652,Normal,Normal
Colpo_074.jpg,0.2487,Normal,Normal
Colpo_075.jpg,0.5698,Anormal,Anormal
Colpo_076.jpg,0.4555,Anormal,Normal
Colpo_077.jpg,0.0671,Normal,Normal
Colpo_078.jpg,0.3108,Normal,Anormal
Colpo_079.jpg,0.4134,Normal,Normal
Colpo_08.jpg,0.367,Normal,Normal
Colpo_080.jpg,0.3449,Normal,Normal
Colpo_081.jpg,0.7109,Anormal,Anormal
Colpo_082.jpg,0.3938,Normal,Anormal
Colpo_083.jpg,0.1823,Normal,Normal
Colpo_084.jpg,0.3489,Normal,Normal
Colpo_085.jpg,0.4781,Anormal,Normal
Colpo_086.jpg,0.3509,Normal,Normal
Colpo_087.jpg,0.5006,Anormal,Normal
Colpo_088.jpg,0.157,Normal,Anormal
Colpo_089.jpg,0.1793,Normal,Normal
Colpo_09.jpg,0.3001,Normal,Normal
Colpo_090.jpg,0.2311,Normal,Normal
Colpo_091.jpg,0.3166,Normal,Normal
Colpo_092.jpg,0.1365,Normal,Normal
Colpo_093.jpg,0.3248,Normal,Normal
Colpo_094.jpg,0.6107,Anormal,Normal
Colpo_095.jpg,0.9342,Anormal,Normal
Colpo_096.jpg,0.5682,Anormal,Normal
Colpo_097.jpg,0.5661,Anormal,Normal
Colpo_098.jpg,0.2529,Normal,Normal
Colpo_099.jpg,0.2854,Normal,Normal
Colpo_489.jpeg,0.422,Anormal,Anormal
Colpo_491.jpg,0.6085,Anormal,Anormal
Colpo_492.jpg,0.2956,Normal,Anormal
Colpo_494.jpg,0.283,Normal,Normal
Colpo_495.jpg,0.0978,Normal,Normal
Colpo_498.jpg,0.3712,Normal,Normal
Colpo_500.jpg,0.7304,Anormal,Anormal
Colpo_510.jpg,0.7342,Anormal,Anormal
Colpo_511.jpg,0.6052,Anormal,Normal
Colpo_512.jpg,0.6931,Anormal,Anormal
Colpo_514.jpg,0.5404,Anormal,Anormal
Colpo_519.jpg,0.387,Normal,Normal
Colpo_520.jpg,0.3171,Normal,Normal
Colpo_527.jpg,0.4614,Anormal,Normal
Colpo_530.jpg,0.3039,Normal,Anormal
Colpo_543.jpg,0.7038,Anormal,Anormal
Colpo_554.jpg,0.6858,Anormal,Anormal
Colpo_555.jpg,0.4407,Anormal,Anormal
Colpo_575.jpg,0.543,Anormal,Normal
Colpo_585.jpg,0.6019,Anormal,Normal
Colpo_587.jpg,0.3041,Normal,Normal
Colpo_590.jpg,0.3503,Normal,Normal
Colpo_594.jpg,0.4002,Normal,Normal
Colpo_600.jpg,0.5143,Anormal,Normal
Colpo_606.jpg,0.6163,Anormal,Anormal
Colpo_617.jpg,0.7562,Anormal,Normal
Colpo_625.jpg,0.4076,Normal,Normal
Colpo_626.jpg,0.6115,Anormal,Normal
Colpo_627.jpg,0.4673,Anormal,Normal
Colpo_628.jpg,0.5257,Anormal,Anormal
Colpo_629.jpg,0.3974,Normal,Normal
Colpo_630.jpg,0.5046,Anormal,Anormal
Colpo_631.jpg,0.7844,Anormal,Anormal
Colpo_635.jpg,0.2321,Normal,Anormal
Colpo_636.jpg,0.6397,Anormal,Anormal
Colpo_637.jpg,0.2857,Normal,Anormal
Colpo_646.jpg,0.2996,Normal,Anormal
Colpo_650.jpg,0.1255,Normal,Normal
Colpo_654.jpg,0.5106,Anormal,Normal
Colpo_661.jpg,0.4669,Anormal,Anormal
Colpo_664.jpg,0.4028,Normal,Normal
Colpo_669.jpg,0.4954,Anormal,Anormal
Colpo_670.jpg,0.6664,Anormal,Anormal
Colpo_672.jpg,0.5408,Anormal,Anormal
